model,domain,seed,method,ratio,calibration_tokens,calibration_positions,ppl,nll,predicted_tokens,windows,sequence_length
llama2_7b,c4,7,sobp,0.5,262144,all_128x2048,12.891573414200087,863495.6088867188,337755,165,2048
llama2_7b,c4,7,fand,0.5,262144,all_128x2048,14.492882346979357,903041.2416992188,337755,165,2048
llama2_7b,c4,7,slimllm,0.5,262144,all_128x2048,14.173133458384084,895506.0986328125,337755,165,2048
llama2_7b,c4,7,wanda,0.5,262144,all_128x2048,14.007207857900433,891528.6557617188,337755,165,2048
llama2_7b,c4,8,fc_ls,0.2,262144,all_128x2048,6.758923053151448,645403.7236328125,337755,165,2048
llama2_7b,c4,8,flap,0.2,262144,all_128x2048,6.788665155178762,646886.7270507812,337755,165,2048
llama2_7b,c4,8,sobp,0.2,262144,all_128x2048,6.881901655493263,651493.9365234375,337755,165,2048
llama2_7b,c4,8,fand,0.2,262144,all_128x2048,6.7532811570694875,645121.6706542969,337755,165,2048
llama2_7b,c4,8,slimllm,0.2,262144,all_128x2048,6.534704436298931,634009.0698242188,337755,165,2048
llama2_7b,c4,8,wanda,0.2,262144,all_128x2048,6.808511427063771,647872.6938476562,337755,165,2048
llama2_7b,c4,8,fc_ls,0.3,262144,all_128x2048,7.934931719403606,699583.4028320312,337755,165,2048
llama2_7b,c4,8,flap,0.3,262144,all_128x2048,8.052797477295853,704563.5310058594,337755,165,2048
llama2_7b,c4,8,sobp,0.3,262144,all_128x2048,8.005724602444268,702583.3806152344,337755,165,2048
llama2_7b,c4,8,fand,0.3,262144,all_128x2048,8.136448837239117,708053.9858398438,337755,165,2048
llama2_7b,c4,8,slimllm,0.3,262144,all_128x2048,7.623726010418527,686069.9870605469,337755,165,2048
llama2_7b,c4,8,wanda,0.3,262144,all_128x2048,8.19851008842973,710620.4567871094,337755,165,2048
llama2_7b,c4,8,fc_ls,0.4,262144,all_128x2048,9.664150610563784,766171.2866210938,337755,165,2048
llama2_7b,c4,8,flap,0.4,262144,all_128x2048,9.973179135075382,776802.5229492188,337755,165,2048
llama2_7b,c4,8,sobp,0.4,262144,all_128x2048,9.646812617617288,765564.7922363281,337755,165,2048
llama2_7b,c4,8,fand,0.4,262144,all_128x2048,10.382194441430368,790377.86328125,337755,165,2048
llama2_7b,c4,8,slimllm,0.4,262144,all_128x2048,9.737630410225492,768729.6381835938,337755,165,2048
llama2_7b,c4,8,wanda,0.4,262144,all_128x2048,10.379807443266754,790300.2001953125,337755,165,2048
llama2_7b,c4,8,fc_ls,0.5,262144,all_128x2048,13.11908272029823,869404.2922363281,337755,165,2048
llama2_7b,c4,8,flap,0.5,262144,all_128x2048,13.794375322062807,886357.2482910156,337755,165,2048
llama2_7b,c4,8,sobp,0.5,262144,all_128x2048,13.735140402986218,884903.7595214844,337755,165,2048
llama2_7b,c4,8,fand,0.5,262144,all_128x2048,14.300759917668715,898533.908203125,337755,165,2048
llama2_7b,c4,8,slimllm,0.5,262144,all_128x2048,14.052863436477299,892627.755859375,337755,165,2048
llama2_7b,c4,8,wanda,0.5,262144,all_128x2048,14.741426857402166,908784.4370117188,337755,165,2048
llama2_7b,c4,9,fc_ls,0.2,262144,all_128x2048,6.816820079872981,648284.6162109375,337755,165,2048
llama2_7b,c4,9,flap,0.2,262144,all_128x2048,6.856820279967222,650260.7258300781,337755,165,2048
llama2_7b,c4,9,sobp,0.2,262144,all_128x2048,7.1572919310690315,664746.3181152344,337755,165,2048
llama2_7b,c4,9,fand,0.2,262144,all_128x2048,6.850728974700799,649960.5454101562,337755,165,2048
llama2_7b,c4,9,slimllm,0.2,262144,all_128x2048,6.500165732751926,632219.1560058594,337755,165,2048
llama2_7b,c4,9,wanda,0.2,262144,all_128x2048,6.890593333454471,651920.2438964844,337755,165,2048
llama2_7b,c4,9,fc_ls,0.3,262144,all_128x2048,7.996613390227163,702198.7670898438,337755,165,2048
llama2_7b,c4,9,flap,0.3,262144,all_128x2048,8.177819419154984,709766.9833984375,337755,165,2048
llama2_7b,c4,9,sobp,0.3,262144,all_128x2048,8.279330201681598,713933.7084960938,337755,165,2048
llama2_7b,c4,9,fand,0.3,262144,all_128x2048,8.151060663688176,708659.9985351562,337755,165,2048
llama2_7b,c4,9,slimllm,0.3,262144,all_128x2048,7.57914325089082,684089.0329589844,337755,165,2048
llama2_7b,c4,9,wanda,0.3,262144,all_128x2048,8.28182230323763,714035.3583984375,337755,165,2048
llama2_7b,c4,9,fc_ls,0.4,262144,all_128x2048,10.166117863923724,783274.2497558594,337755,165,2048
llama2_7b,c4,9,flap,0.4,262144,all_128x2048,10.409619763730502,791268.8913574219,337755,165,2048
llama2_7b,c4,9,sobp,0.4,262144,all_128x2048,10.380160616983012,790311.6921386719,337755,165,2048
llama2_7b,c4,9,fand,0.4,262144,all_128x2048,10.691806521654554,800302.94140625,337755,165,2048
llama2_7b,c4,9,slimllm,0.4,262144,all_128x2048,9.85208928261775,772676.5549316406,337755,165,2048
llama2_7b,c4,9,wanda,0.4,262144,all_128x2048,10.705607864554024,800738.6457519531,337755,165,2048
llama2_7b,c4,9,fc_ls,0.5,262144,all_128x2048,13.726013803313485,884679.2565917969,337755,165,2048
